title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
hansel & gretel,2013,Horror,7.717,4.7,134.0,Hansel & Gretel,"In this modern retelling of the classic horror tale, teen siblings are enslaved by a psychotic recluse within her gruesome house of horrors in the woods.",2013-01-07,en
hansel and gretel,1988,"Family,Fantasy",12.7,7.1,57.0,Hansel and Gretel,Hansel and Gretel tells the tale of two young children driven from home by their scolding mother. Losing their way in the dark forest they stumble upon the cottage of a kindly old woman. But is this kindly old woman everything she seems...?,1988-12-10,en
merry christmas officer hansel,2022,Comedy,1.432,0.0,0.0,Merry Christmas Officer Hansel,"Everyone thinks new recruit Hansel is too small to be a K-9 dog, but when a greedy package thief is ruining the holidays, little Officer Hansel must go on a mission to catch him and save Christmas.",2022-11-04,en
hansel and gretel get baked,2013,"Horror,Comedy",8.846,5.1,217.0,Hansel and Gretel Get Baked,"An intense new marijuana strain named “Black Forest” is taking Los Angeles by storm, and Gretel’s stoner boyfriend can’t get enough. But when the old woman growing the popular drug turns out to be an evil witch, cooking and eating her wasted patrons for their youth, Gretel and her brother Hansel must save him from a gruesome death — or face the last high of their lives.",2013-02-19,en
mama,2013,Horror,25.223,6.272,4132.0,Mama,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",2013-01-17,en
mamá,2008,"Drama,Horror",6.782,6.1,128.0,Mamá,Lili wakes her sister Victoria and insists that they both leave the house.,2008-10-07,es
mama,2017,Drama,0.34,0.0,0.0,Mama,"A young man is sent to the city to live with his uncle to “become a man”. His uncle is not quite the role model his mother had hoped for. Following an unexpected turn of events, he tries to turn his life around. When his mother falls ill, he begins to question his faith.",2017-08-08,en
mama,2012,Comedy,0.104,0.0,0.0,Mama,,2012-01-01,pt
zero dark thirty,2012,"Thriller,Drama",26.66,6.991,4494.0,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",2012-12-19,en
the texas chainsaw massacre,2003,Horror,33.755,6.281,2629.0,The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",2003-05-21,en
texas chainsaw 3d,2013,"Horror,Thriller",38.387,5.483,1671.0,Texas Chainsaw 3D,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",2013-01-03,en
texas chainsaw massacre,2022,Horror,24.511,5.2,1451.0,Texas Chainsaw Massacre,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",2022-02-18,en
the texas chainsaw massacre: the beginning,2006,Horror,22.113,6.142,1785.0,The Texas Chainsaw Massacre: The Beginning,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",2006-10-05,en
the texas chainsaw massacre 2,1986,"Horror,Comedy",23.474,5.636,881.0,The Texas Chainsaw Massacre 2,"With the help of a radio DJ, Texas ranger Lefty Enright finds his way to the cannibalistic Sawyer family's underground slaughter shop, where he seeks to avenge the brutal murder of his kin.",1986-08-22,en
the return of the texas chainsaw massacre,1995,"Comedy,Horror",18.5,4.6,673.0,The Return of the Texas Chainsaw Massacre,"After a group of Texas teenagers leave prom night early and get into a car crash in the woods, they employ the aid of a nearby insurance agent, who calls in her tow truck-driving boyfriend, Vilmer Slaughter. Unfortunately for them, Vilmer is a sadistic killer with a mechanical leg who introduces them to his brother, Leatherface, and the rest of their twisted family.",1995-09-22,en
leatherface: the texas chainsaw massacre iii,1990,"Horror,Thriller",15.569,5.3,554.0,Leatherface: The Texas Chainsaw Massacre III,Two college students driving coast to coast are lured off the main highway and onto a deserted Texas road. Here they are stalked by the menacing Leatherface and his demented family...a bizarre cannibalistic clan with blood on their hands and a feast on their minds. The students’ only chance for escape is a survivalist with enough firepower to blast Leatherface and the rest of the grisly predators to hell. A depraved shocker of intense terror from the gruesome beginning to the bloody finish.,1990-01-12,en
texas chainsaw mascara,2022,Horror,1.061,2.7,3.0,Texas Chainsaw Mascara,"A group of New Yorkers take a road trip to Texas, to visit the locations from the Texas Chainsaw Massacre. Their car is disabled. As they wait in a desolate part of the state, a hiker discovers the travelers and offers refuge at her home, which happens to be five hours away by foot. When the gang arrives at what looks like a hovel, their northern attitudes and prejudices clash with the southerners, and a sadistic game ensues. All will learn what it means when someone says, ""Don't mess with Texas.""",2022-07-07,en
the texas chainsaw massacre: a family portrait,1988,Documentary,2.053,6.2,15.0,The Texas Chainsaw Massacre: A Family Portrait,"A documentary about the classic 'Texas Chainsaw Massacre' film, including interviews with Gunnar Hansen, Edwin Neal, John Dugan and Jim Siedow.",1988-01-01,en
the texas chainsaw massacre: last round-up rollin' grill,2018,Horror,0.202,6.0,1.0,The Texas Chainsaw Massacre: Last Round-Up Rollin' Grill,A prequel fan film to Tobe Hooper's The Texas Chain Saw Massacre (1974).,2018-03-16,en
the texas chain saw massacre,1974,Horror,33.022,7.3,3338.0,The Texas Chain Saw Massacre,A group of five young friends face a nightmare of torment at the hands of a depraved Texas clan.,1974-10-11,en
the hobbit: the battle of the five armies,2014,"Action,Adventure,Fantasy",122.021,7.323,14282.0,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,en
exodus: gods and kings,2014,"Adventure,Drama,Action",45.147,5.9,4535.0,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",2014-12-03,en
the hunger games: mockingjay - part 1,2014,"Science Fiction,Adventure,Thriller",76.866,6.812,15791.0,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,2014-11-19,en
the mockingjay lives: the making of the hunger games: mockingjay part 1,2015,Documentary,4.042,7.1,19.0,The Mockingjay Lives: The Making of the Hunger Games: Mockingjay Part 1,"Documentary film about the making of The Hunger Games: Mockingjay Part 1.  An impressively in depth assortment of seven featurettes that look at a variety of subjects, from casting to visual effects.  - Hope and Rebellion: Continuing the Saga  - Designing Dystopia: Visual Aesthetic  - Rebels and Warriors: The Cast  - Fusing Form and Function: Costume, Make-Up and Hair  - Fighting the System: Shooting on Location  - D13: Rebellion Tactics: Stunts and Special Effects  - Perfecting Panem: The Post-Production Process",2015-03-06,en
dumb and dumber to,2014,Comedy,41.15,5.6,3158.0,Dumb and Dumber To,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",2014-11-12,en
dumb and dumber,1994,Comedy,47.672,6.6,6111.0,Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",1994-12-16,en
dumb and dumberer: when harry met lloyd,2003,Comedy,16.187,4.2,826.0,Dumb and Dumberer: When Harry Met Lloyd,"This wacky prequel to the 1994 blockbuster goes back to the lame-brained Harry and Lloyd's days as classmates at a Rhode Island high school, where the unprincipled principal puts the pair in remedial courses as part of a scheme to fleece the school.",2003-04-14,en
big hero 6,2014,"Adventure,Family,Animation,Action,Comedy",100.054,7.7,15625.0,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014-10-24,en
ouija,2014,Horror,48.41,5.1,2643.0,Ouija,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,2014-10-24,en
ouija,2004,Horror,3.889,6.1,15.0,Ouija,"Clara, an attractive young journalism student, has just arrived in town where she will spend her holidays. Shortly after arriving she meets Victor, a passion for the occult that quickly will be fascinated by the charms of her new friend. Together they form a group of young people coming together to live a fun experience while dangerous: make a Ouija session",2004-10-15,es
ouija,2007,"Mystery,Drama,Horror",6.386,4.5,14.0,Ouija,"Half-sisters Aileen and Romina, along with first cousins Ruth and Sandra, reunite in Camiguin to bury their grandmother. Accompanied by Sandra's friend, Lucy, the five girls dare to call on the spirits of the dead when they find their old Ouija board from when they were kids. The Ouija board is burned by accident before they are able to finish the ritual, trapping a murderous entity around them. As they begin to realize the terror that they have brought upon themselves, Aileen and Romina's hostile relationship even become more strained, while Lucy's sanity brings a heavy burden on Sandra, and Ruth's boyfriend, Gino, is unknowingly pulled into the danger and horror that await all of them. Confronted by imminent Death, the girls have nowhere to go unless they can identify the spirit and find out where it is buried. It is only by leading the spirit to its burial ground that they will able to release the spirit from the Ouija board and survive its fatal hauntings.",2007-07-25,en
ouija: origin of evil,2016,Horror,34.707,6.1,2458.0,Ouija: Origin of Evil,"In 1967 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their séance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.",2016-10-20,en
bunshinsaba: ouija board,2004,Horror,5.079,6.09,67.0,분신사바,"Yu-jin and her blind mother move to a small village from Seoul. On her first day at the new school, Yu-jin gets picked on by her classmates. Along with other victims of hatred, Yu-jin puts a curse on the four girls tormenting them through a Ouija Board. On her second day at school, one of the spellbound bursts into flames and dies just as she sits down where Yu-jin used the board. Next day, another victim burns to death, and now the school is enclosed by horror.",2004-08-05,ko
the ouija experiment 2: theatre of death,2015,Horror,10.548,4.7,99.0,The Ouija Experiment 2: Theatre of Death,"A fun filled weekend turns deadly when a group of unsuspecting theatre goers are trapped inside, after a ravenous spirit is resurrected and released from a Ouija board. They must confront their most terrifying fears and destroy the spirit before it finds and kills them first.",2015-01-13,en
ouija o encontro mortal,2021,Horror,8.352,4.9,59.0,Ouija O Encontro Mortal,"As some friends prepare a birthday party in a warehouse, Kay and best friend Noah find a Ouija board in a storage room. They try to contact the spirits of the dead, and strange things begin to happen.",2021-06-14,pt
ouija house,2018,Horror,6.276,5.4,108.0,Ouija House,"A graduate student, who is trying to finish the last of her research on a book project that she hopes will help her down-on-her-luck mother, brings friends to a house with a dark past, where they soon unwittingly summon an evil entity who makes the house part of its game…",2018-05-05,en
death ouija 2,2017,"Thriller,Mystery,Horror",2.973,0.0,0.0,碟仙诡谭2,,2017-03-10,zh
the ouija experiment,2011,Horror,7.029,4.102,142.0,The Ouija Experiment,"Based on true events, five friends who fall prey to the evil entities of the Ouija board. As they set about filming their experimental session, what starts out as bit of fun, soon escalates into a terrifying series of events as paranoia and personal demons are revealed…. and recorded.",2011-05-05,en
ouija,2015,Horror,0.239,3.0,2.0,ಊಜಾ,The happy go lucky girls working as software professionals start a short film to pursue their dreams of film making. Everything goes well apart from the theme of the film they chosen.,2015-11-06,kn
ouija craft,2020,"Fantasy,Horror",3.082,5.0,12.0,Ouija Craft,Two witches use a Ouija board to resurrect their friend after she dies in a tragic accident.,2020-06-10,en
mortal ouija,2019,"Horror,Thriller",0.676,6.0,1.0,碟仙,"Meng Yao (Huang Wei), a single mother who is a live webcast, took her kindergarten daughter Wen Wen into a cheap school district. However, the strange atmosphere in the house and the strange stench from time to time made Meng Yao feeling anxious. One night, Wen Wen actually played the ""disc fairy"" game left by the former tenant in her sleepwalking.",2019-06-21,zh
fury,2014,"War,Drama,Action",107.469,7.54,11965.0,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",2014-10-15,en
fury,1936,"Crime,Drama",6.526,7.477,221.0,Fury,"Joe, who owns a gas station along with his brothers and is about to marry Katherine, travels to the small town where she lives to visit her, but is wrongly mistaken for a wanted kidnapper and arrested.",1936-06-05,en
one russian summer,1973,"History,Drama",0.817,6.8,3.0,Fury,"Based on Mikhail Lermontov's novel Vadim, this costume drama, set in Russia during the 1700s, chronicles the battle between a vengeful, anarchic peasant and the tyrannical landowner who killed his mother and father.",1973-01-01,en
fury,1923,Adventure,0.298,0.0,0.0,Fury,Fury is a 1923 silent film,1923-01-01,en
fury,1950,"Family,Adventure",0.33,0.0,0.0,Fury,,1950-11-10,it
fist of fury,1972,"Drama,Action,Thriller",51.253,7.245,949.0,精武門,"Chen Chen returns to his former school in Shanghai when he learns that his beloved instructor has been murdered. While investigating the man's death, Chen discovers that a rival Japanese school is operating a drug smuggling ring. To avenge his master’s death, Chen takes on both Chinese and Japanese assassins… and even a towering Russian.",1972-03-22,zh
mad max: fury road,2015,"Action,Adventure,Science Fiction",118.819,7.617,22643.0,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015-05-13,en
shazam! fury of the gods,2023,"Comedy,Action,Fantasy",63.087,6.516,3127.0,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",2023-03-15,en
the divine fury,2019,"Action,Horror,Thriller",13.698,6.8,259.0,사자,"After waking up with mysterious wounds on his hands, a champion fighter finds himself in an otherworldly battle against evil forces that wreak havoc in the human world.",2019-07-31,ko
hell hath no fury,2021,"Action,War",16.673,6.5,95.0,Hell Hath No Fury,"Branded a traitor by her countrymen, French national Marie DuJardin is rescued by American soldiers on one condition: to survive, she must lead them to a cache of gold - before the Nazis return to claim it for themselves.",2021-11-05,en
fatal fury: the motion picture,1994,"Action,Animation,Fantasy",9.614,7.3,103.0,餓狼伝説 THE MOTION PICTURE,"The Armor of Mars -- a suit of armor consisting of six pieces. If anyone from the bloodline of the ancient warrior Godimus were to find all six pieces for himself, he would receive power equal to the level of a god. The Curse of Godimus, however, also dictates that this same person would lose all sense of himself and become an insane killing machine.",1994-07-16,ja
new fist of fury,1976,"Action,Drama",12.903,5.9,76.0,新精武門,"A brother and sister escape from Japanese-occupied Shanghai to Japanese-occupied Taiwan, to stay with their grandfather who runs a Kung-Fu school there. However, the master of a Japanese Kung- Fu school in Taiwan has plans to bringing all other schools on the island under his domination, and part of his plan involves the murder of the grandfather.",1976-07-08,zh
sex and fury,1973,"Action,Crime",17.22,6.1,88.0,不良姐御伝 猪の鹿お蝶,"Sex & Fury chronicles Ocho's exploits as she searches for her father's killers, each identified by unique tattoos on their backs (a deer, a boar, and a butterfly). Along the way, she also crosses paths with Shonusuke, a radical set on murdering prominent politician Kurokawa and Christina, an American spy posing as a gambler.",1973-02-17,ja
fist of fury 1991 ii,1992,"Action,Comedy",10.71,5.4,24.0,漫畫威龍,"After the total defeat of his love rival, Ching must now deal with the love rival's brother, Wan To, who seeks revenge against him. When Ching is ambushed by Wan To and his gang in the streets and is at risk, he is rescued and treated by an apprentice of his, Beef Skin, and his feisty sister, Beef Stew. It turns out those two are even harder to handle than Wan To.",1992-01-01,zh
fury 12 hours,2024,"Action,Mystery",11.42,6.2,3.0,怒火十二小时,"A retired Chinese soldier, Lei Jun, finds himself in a race against time when a terrorist attack targets a Chinese community abroad. With only 12 hours to act, he must summon all his strength and courage to protect his fellow citizens and survive the dire situation.",2024-08-28,zh
fist of fury 1991,1991,"Action,Comedy",9.74,6.1,33.0,新精武門1991,"Lau Ching, a Mainlander with an incredibly powerful right arm, arrives in Hong Kong to find his cousin. He befriends with a drifter named Handsome, and a martial artist girl named Mandy. In order to woo her, Ching participates in a fighting competition in hopes of winning a $10 million prize, and must defeat his love rival, Wai, in the ring.",1991-03-23,cn
gone girl,2014,"Mystery,Thriller,Drama",72.933,7.9,18624.0,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014-10-01,en
umjolo: the gone girl,2024,"Romance,Drama,Comedy",17.6,6.8,16.0,Umjolo: The Gone Girl,"The story of a young woman who is on top of the world when she gets engaged to her perfect boyfriend, until a doctor's appointment changes everything.",2024-11-08,zu
girls gone dead,2012,"Horror,Comedy",5.196,4.5,56.0,Girls Gone Dead,A group of six ex-high school cheerleaders are stalked by a killer with a medieval war hammer and battle axe during their first Spring Break from college.,2012-03-28,en
good girl gone bad,2019,Comedy,0.649,5.4,8.0,Petting statt Pershing,"West Germany, 1983. Seventeen-year-old Ursula wants it all and is thus too much, although all she's looking for is love. Enter Siegfried Grimm, the charismatic new teacher who finally recognizes Ursula's true potential. She falls for him, head over heels. A pity that Grimm sexually liberates the entire village - except Ursula. While the Grimm acolytes fight for the favor of their idol, Ursula resorts to more radical measures. Whatever it takes, she'll get back at Grimm.",2019-09-05,de
two girls gone dancing,2021,unknown,0.058,10.0,1.0,Elles allaient danser,"Paris in the middle of August. While looking for a place to dance, Janna and Aurea, two girls in their early twenties, get lost. Their nocturnal wandering in the deserted city leads them to show what they are made of.",2021-10-15,fr
girl gone bad,2022,"Thriller,Drama,Horror,Crime",0.65,7.0,1.0,Girl Gone Bad,"When 16-year old Samantha has the house to herself over the weekend, she plans a romantic night for her and her girlfriend. However, when an intruder makes his way into her home, it's fight or flight on a night that will change her life.",2022-10-07,en
girls getaway gone wrong,2021,"Thriller,TV Movie",1.676,4.6,8.0,Girls Getaway Gone Wrong,A girls’ trip goes horribly wrong when a trio of friends wake up to discover a woman has fallen to her death with all evidence pointing to them.,2021-12-17,en
rihanna - good girl gone bad live,2008,Music,1.016,7.3,16.0,Rihanna - Good Girl Gone Bad Live,"The award-winning singer performs live at the MEN Arena in Manchester in December 2007. Tracks include: 'Umbrella', 'S.O.S.', 'Don't Stop the Music', 'Shut Up and Drive', and many more.",2008-06-13,en
girls getaway gone wrong 2,2022,"Drama,Mystery,Thriller",1.047,7.2,2.0,Girls Getaway Gone Wrong 2,"While at New York Fashion Week with her best friends, Parker finds trouble following her again when a designer goes missing – and she’s the prime suspect.",2022-12-16,en
girls gone wild: forbidden spring break,2003,Documentary,0.39,0.0,0.0,Girls Gone Wild: Forbidden Spring Break,"Another entry in the long-running adults-only Girls Gone Wild series, this volume takes viewers around the country for some of the most uninhibited spring-break parties in the U.S",2003-04-23,en
girls gone wild: beach babes 2,2006,"Documentary,Comedy",0.001,0.0,0.0,Girls Gone Wild: Beach Babes 2,"The GIRLS GONE WILD crew has hit the beaches of North American once again, and come up with a wealth of footage of the hottest coeds cutting loose and getting naked! From Florida, to Texas, to Mexico, these girls are completely real and completely out of control. In BEACH BABES 2, anything can happen... and it does.",2006-01-01,en
the equalizer,2014,"Thriller,Action,Crime",157.005,7.283,9060.0,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",2014-09-24,en
the equalizer 3,2023,"Action,Thriller,Crime",100.017,7.333,3010.0,The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",2023-08-30,en
the equalizer 2,2018,"Action,Thriller,Crime",93.911,6.763,5366.0,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",2018-07-19,en
daughters of equality,1981,"Animation,Comedy",0.535,7.0,1.0,Les filles de l'égalité,The Daughters of Equality want everybody to be like them...,1981-01-01,fr
equality before the violence,2019,Action,2.178,6.2,2.0,쎈놈,"Dong-ho is ranked number 1 in ""Arena,"" an illegal gambling league for teens, but he steps down to prepare for college. However, the members of ""Arena"" don't want to lose their biggest money-maker, so they place a debt on his brother Dong-min. Dong-min literally fights against his debt, but when he gets hurt, Dong-ho decides to fight back.",2019-04-11,ko
equals,2014,Drama,1.24,8.0,3.0,Једнаки,An omnibus film on children's rights and the problems that the youngest members of our society have to face. Each story tackles a specific theme and has its own hero.,2014-01-01,sr
labour equals freedom,2004,Drama,0.972,7.5,2.0,Delo osvobaja,"Peter is in his early forties and until recently he worked in a factory, but after Slovenia's integration into the European Union, the factory closed down and Peter and his colleagues have been made redundant. Slowly but surely, he is losing self-confidence and self-esteem.",2004-12-29,sl
x equals to love,2022,"Romance,Drama,Science Fiction,Music",0.447,7.5,2.0,এক্স=প্রেম,"Khilat, a young software engineer and Joyee are determined to face any and all problems that life throws at them. Will they ever get there happily ever after?",2022-06-03,bn
yuяi=paradox 〜sleep is equal to awake〜,2006,unknown,0.037,6.0,1.0,yuЯi=paRadox～眠りは覚醒である～,"Yuri’s daily life after her marriage and building a home. She cleans, does the laundry, cooks and does household bookkeeping. In the repeated daily life, suddenly the snowscape appeared in front of her, and the girl who wears a red coat crouched there. Her eyes were stuck by nails and hurt. A boat floating on the lake of yellow-green semen. Pregnant Yuri dozes on the boat.",2006-03-08,ja
the maze runner,2014,"Action,Mystery,Science Fiction,Thriller",128.487,7.2,17023.0,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",2014-09-10,en
maze runner: the scorch trials,2015,"Science Fiction,Action,Thriller,Adventure",57.302,6.7,10365.0,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",2015-09-09,en
maze runner: the death cure,2018,"Science Fiction,Action,Adventure,Thriller",50.918,7.1,7793.0,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",2018-01-10,en
no good deed,2014,"Crime,Thriller",23.083,5.9,623.0,No Good Deed,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",2014-09-10,en
no good deed,2002,"Action,Crime,Drama,Mystery,Thriller",8.984,5.3,182.0,No Good Deed,"While doing a friend a favour and searching for a runaway teenager, a police detective stumbles upon a bizarre band of criminals about to pull off a bank robbery. The screenplay by Christopher Cannan and Steve Barancik is based on the short story ""The House in Turk Street"" by Dashiell Hammett.",2002-06-28,en
deadpool: no good deed,2017,"Action,Comedy,Crime",16.467,7.148,501.0,Deadpool: No Good Deed,"Deadpool sees an opportunity to save the day, but it doesn't go entirely as planned.",2017-03-03,en
no good deed,2020,"TV Movie,Thriller",5.609,6.1,49.0,No Good Deed,"Karen never planned on being a hero. A recent widow, she has her hands full with work and parenting her son Max. Then Karen saves Jeremy's life during a drug store robbery and quickly discovers that the young man is intent on paying her back at any cost. At first, life starts improving for this good Samaritan, but as Jeremy's efforts become more extreme, Karen starts to wonder if no good deed truly goes unpunished.",2020-03-13,en
sorority stalker,2018,Thriller,2.449,5.4,10.0,Sorority Stalker,"Spa owner Aya accidentally bumps into a distraught Taryn, who turns out to be a sorority sister. When Aya learns that Taryn has been dumped by the very guy she just moved to LA to be with, Aya welcomes her into her home and life as any sister would. But Taryn is not really her sister. She is a former foster child who will do anything, even kill, to create the family bond she has desperately wanted her entire life.",2018-10-10,en
bad samaritan,2018,"Thriller,Crime,Horror",13.766,6.7,679.0,Bad Samaritan,"A thief makes a disturbing discovery in the house where he breaks in. Later, when he returns to the same house with his partner in crime, things are no longer how he expected.",2018-04-19,en
guardians of the galaxy vol. 3,2023,"Science Fiction,Adventure,Action",104.296,7.962,6935.0,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,en
guardians of the galaxy,2014,"Action,Science Fiction,Adventure",47.569,7.906,28057.0,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2014-07-30,en
guardians of the galaxy vol. 2,2017,"Science Fiction,Adventure,Action",60.37,7.617,21587.0,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,2017-04-19,en
the guardians of the galaxy holiday special,2022,"Comedy,Science Fiction,Adventure",40.469,7.139,2014.0,The Guardians of the Galaxy Holiday Special,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",2022-11-24,en
marvel studios assembled: the making of the guardians of the galaxy vol. 3,2023,Documentary,8.029,6.3,13.0,Marvel Studios Assembled: The Making of the Guardians of the Galaxy Vol. 3,"Join visionary director James Gunn and superstars such as Chris Pratt and Zoe Saldaña as they recount how “Guardians of the Galaxy Vol. 3” was conceived, shaped, and delivered to the world. And stand alongside the cast and crew in the emotional final moments of the shoot as they bid farewell to each other, and close this chapter in the saga of Peter Quill and his loveable band of misfit-warriors.",2023-09-12,en
lego marvel super heroes: guardians of the galaxy - the thanos threat,2017,"Animation,Family,Science Fiction",8.693,6.7,57.0,LEGO Marvel Super Heroes: Guardians of the Galaxy - The Thanos Threat,"The Guardians are on a mission to deliver the Build Stone to the Avengers before the Ravagers, Thanos and his underlings steal it from them.",2017-12-09,en
teenage mutant ninja turtles,2014,"Science Fiction,Action,Adventure,Comedy",100.462,5.919,6775.0,Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",2014-08-07,en
teenage mutant ninja turtles: mutant mayhem,2023,"Animation,Comedy,Action,Science Fiction",44.948,7.2,1307.0,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",2023-07-31,en
teenage mutant ninja turtles,1990,"Science Fiction,Action,Adventure,Comedy,Family",25.739,6.7,1774.0,Teenage Mutant Ninja Turtles,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",1990-03-30,en
